dataset,source_record_id,ispb,cnpj,institution_name,short_name,institution_type,spi_participation_type,pix_participation_type,pix_participation_mode,is_authorized_by_bcb,catalog_snapshot_date,source_registry_id,source_file_url,source_publication_date,schema_version,initiation_of_payment,facilitator_of_withdrawal_and_change,raw_source_json
pix_active_participants,pix_active_participants:671,25021356,25021356000132,DLOCAL BRASIL IP S.A.,DLOCAL BRASIL IP S.A.,Instituição de Pagamento,Direta,Facultativa,Provedor de Conta Transacional,true,2026-05-06,bcb-pix-active-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260506.csv,2026-05-06,1.0.0,true,false,"{""row_number"":""671"",""nome_reduzido"":""DLOCAL BRASIL IP S.A."",""ispb"":""25021356"",""cnpj"":""25.021.356/0001-32"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Direta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""initiation_of_payment"":""Sim"",""facilitator_of_withdrawal_and_change"":""Não""}"
pix_active_participants,pix_active_participants:672,91669747,91669747000192,DM SCFI,DM SCFI,"Sociedade de Crédito, Financiamento e Investimento",Indireta,Facultativa,Provedor de Conta Transacional,true,2026-05-06,bcb-pix-active-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260506.csv,2026-05-06,1.0.0,false,false,"{""row_number"":""672"",""nome_reduzido"":""DM SCFI"",""ispb"":""91669747"",""cnpj"":""91.669.747/0001-92"",""tipo_instituicao"":""Sociedade de Crédito, Financiamento e Investimento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""initiation_of_payment"":""Não"",""facilitator_of_withdrawal_and_change"":""Não""}"
pix_active_participants,pix_active_participants:673,13370835,13370835000185,DOCK IP S.A.,DOCK IP S.A.,Instituição de Pagamento,Direta,Obrigatória,Provedor de Conta Transacional,true,2026-05-06,bcb-pix-active-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260506.csv,2026-05-06,1.0.0,true,false,"{""row_number"":""673"",""nome_reduzido"":""DOCK IP S.A."",""ispb"":""13370835"",""cnpj"":""13.370.835/0001-85"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Direta"",""tipo_participacao_pix"":""Obrigatória"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""initiation_of_payment"":""Sim"",""facilitator_of_withdrawal_and_change"":""Não""}"
pix_active_participants,pix_active_participants:674,32024691,32024691000150,DOTZPAY IP,DOTZPAY IP,Instituição de Pagamento,Indireta,Facultativa,Provedor de Conta Transacional,false,2026-05-06,bcb-pix-active-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260506.csv,2026-05-06,1.0.0,false,,"{""row_number"":""674"",""nome_reduzido"":""DOTZPAY IP"",""ispb"":""32024691"",""cnpj"":""32.024.691/0001-50"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Não"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""initiation_of_payment"":""Não"",""facilitator_of_withdrawal_and_change"":""N/A""}"
pix_active_participants,pix_active_participants:675,18639407,18639407000129,E2E PAY INSTITUICAO DE PAGAMEN,E2E PAY INSTITUICAO DE PAGAMEN,Instituição de Pagamento não sujeita à autorização pelo BCB,Indireta,Facultativa,Provedor de Conta Transacional,false,2026-05-06,bcb-pix-active-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260506.csv,2026-05-06,1.0.0,false,,"{""row_number"":""675"",""nome_reduzido"":""E2E PAY INSTITUICAO DE PAGAMEN"",""ispb"":""18639407"",""cnpj"":""18.639.407/0001-29"",""tipo_instituicao"":""Instituição de Pagamento não sujeita à autorização pelo BCB"",""autorizada_pelo_bcb"":""Não"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""initiation_of_payment"":""Não"",""facilitator_of_withdrawal_and_change"":""N/A""}"
pix_active_participants,pix_active_participants:676,22181404,22181404000161,EASY PAGO,EASY PAGO,Instituição de Pagamento não sujeita à autorização pelo BCB,Indireta,Facultativa,Provedor de Conta Transacional,false,2026-05-06,bcb-pix-active-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260506.csv,2026-05-06,1.0.0,false,,"{""row_number"":""676"",""nome_reduzido"":""EASY PAGO"",""ispb"":""22181404"",""cnpj"":""22.181.404/0001-61"",""tipo_instituicao"":""Instituição de Pagamento não sujeita à autorização pelo BCB"",""autorizada_pelo_bcb"":""Não"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""initiation_of_payment"":""Não"",""facilitator_of_withdrawal_and_change"":""N/A""}"
pix_active_participants,pix_active_participants:677,21018182,21018182000106,EBANX IP LTDA.,EBANX IP LTDA.,Instituição de Pagamento,Direta,Facultativa,Provedor de Conta Transacional,true,2026-05-06,bcb-pix-active-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260506.csv,2026-05-06,1.0.0,true,false,"{""row_number"":""677"",""nome_reduzido"":""EBANX IP LTDA."",""ispb"":""21018182"",""cnpj"":""21.018.182/0001-06"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Direta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""initiation_of_payment"":""Sim"",""facilitator_of_withdrawal_and_change"":""Não""}"
pix_active_participants,pix_active_participants:678,13059145,13059145000100,EBURY BCO DE CÂMBIO S.A.,EBURY BCO DE CÂMBIO S.A.,Banco de Câmbio,Direta,Facultativa,Provedor de Conta Transacional,true,2026-05-06,bcb-pix-active-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260506.csv,2026-05-06,1.0.0,false,false,"{""row_number"":""678"",""nome_reduzido"":""EBURY BCO DE CÂMBIO S.A."",""ispb"":""13059145"",""cnpj"":""13.059.145/0001-00"",""tipo_instituicao"":""Banco de Câmbio"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Direta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""initiation_of_payment"":""Não"",""facilitator_of_withdrawal_and_change"":""Não""}"
pix_active_participants,pix_active_participants:679,09089356,09089356000118,EFÍ S.A. - IP,EFÍ S.A. - IP,Instituição de Pagamento,Direta,Facultativa,Provedor de Conta Transacional,true,2026-05-06,bcb-pix-active-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260506.csv,2026-05-06,1.0.0,true,false,"{""row_number"":""679"",""nome_reduzido"":""EFÍ S.A. - IP"",""ispb"":""09089356"",""cnpj"":""09.089.356/0001-18"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Direta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""initiation_of_payment"":""Sim"",""facilitator_of_withdrawal_and_change"":""Não""}"
pix_active_participants,pix_active_participants:680,33449007,33449007000144,EMPRESA DE BENEFÍCIOS IP LTDA.,EMPRESA DE BENEFÍCIOS IP LTDA.,Instituição de Pagamento,Indireta,Facultativa,Provedor de Conta Transacional,true,2026-05-06,bcb-pix-active-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260506.csv,2026-05-06,1.0.0,false,false,"{""row_number"":""680"",""nome_reduzido"":""EMPRESA DE BENEFÍCIOS IP LTDA."",""ispb"":""33449007"",""cnpj"":""33.449.007/0001-44"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""initiation_of_payment"":""Não"",""facilitator_of_withdrawal_and_change"":""Não""}"
pix_active_participants,pix_active_participants:681,35990763,35990763000101,ENOQ PAY,ENOQ PAY,Instituição de Pagamento não sujeita à autorização pelo BCB,Indireta,Facultativa,Provedor de Conta Transacional,false,2026-05-06,bcb-pix-active-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260506.csv,2026-05-06,1.0.0,false,,"{""row_number"":""681"",""nome_reduzido"":""ENOQ PAY"",""ispb"":""35990763"",""cnpj"":""35.990.763/0001-01"",""tipo_instituicao"":""Instituição de Pagamento não sujeita à autorização pelo BCB"",""autorizada_pelo_bcb"":""Não"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""initiation_of_payment"":""Não"",""facilitator_of_withdrawal_and_change"":""N/A""}"
pix_active_participants,pix_active_participants:682,33641877,33641877000110,EQUIS BANK,EQUIS BANK,Instituição de Pagamento não sujeita à autorização pelo BCB,Indireta,Facultativa,Provedor de Conta Transacional,false,2026-05-06,bcb-pix-active-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260506.csv,2026-05-06,1.0.0,false,,"{""row_number"":""682"",""nome_reduzido"":""EQUIS BANK"",""ispb"":""33641877"",""cnpj"":""33.641.877/0001-10"",""tipo_instituicao"":""Instituição de Pagamento não sujeita à autorização pelo BCB"",""autorizada_pelo_bcb"":""Não"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""initiation_of_payment"":""Não"",""facilitator_of_withdrawal_and_change"":""N/A""}"
pix_active_participants,pix_active_participants:683,00714671,00714671000114,EWALLY IP S.A.,EWALLY IP S.A.,Instituição de Pagamento,Direta,Facultativa,Provedor de Conta Transacional,true,2026-05-06,bcb-pix-active-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260506.csv,2026-05-06,1.0.0,false,false,"{""row_number"":""683"",""nome_reduzido"":""EWALLY IP S.A."",""ispb"":""00714671"",""cnpj"":""00.714.671/0001-14"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Direta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""initiation_of_payment"":""Não"",""facilitator_of_withdrawal_and_change"":""Não""}"
