dataset,catalog_entity_id,source_dataset,source_record_id,source_snapshot_date,match_method,match_basis,linked_ispb,linked_cnpj,linked_name,source_registry_id,source_file_url,source_publication_date,catalog_snapshot_date,schema_version
catalog_crosswalk,ispb:00655522,spi_participants,spi:00655522,2026-04-13,exact_ispb,ispb=00655522,00655522,00655522000121,ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00694389,spi_participants,spi:00694389,2026-04-13,exact_ispb,ispb=00694389,00694389,00694389000112,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB CREDICARU SC/RS,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00694877,spi_participants,spi:00694877,2026-04-13,exact_ispb,ispb=00694877,00694877,00694877000120,COOPERATIVA DE CRéDITO DE LIVRE ADMISSãO DO BRASIL CENTRAL LTDA. - SICOOB EXECUTIVO,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00707903,spi_participants,spi:00707903,2026-04-13,exact_ispb,ispb=00707903,00707903,00707903000107,COOPERATIVA DE CRÉDITO VALE DO CANOAS - SICOOB/SC CREDICANOAS,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00714671,spi_participants,spi:00714671,2026-04-13,exact_ispb,ispb=00714671,00714671,00714671000114,EWALLY INSTITUIÇÃO DE PAGAMENTO S.A.,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00795423,spi_participants,spi:00795423,2026-04-13,exact_ispb,ispb=00795423,00795423,00795423000145,BANCO SEMEAR S.A.,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00803287,spi_participants,spi:00803287,2026-04-13,exact_ispb,ispb=00803287,00803287,00803287000198,COOPERATIVA DE CRéDITO CREDIVAZ LTDA. - SICOOB CREDIVAZ,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00804046,spi_participants,spi:00804046,2026-04-13,exact_ispb,ispb=00804046,00804046,00804046000163,COOPERATIVA DE CRÉDITO CREDICAPI LTDA - SICOOB CREDICAPI,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00815319,spi_participants,spi:00815319,2026-04-13,exact_ispb,ispb=00815319,00815319,00815319000175,COOPERATIVA DE CRÉDITO SUL-SERRANA DO ESPÍRITO SANTO,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00869687,spi_participants,spi:00869687,2026-04-13,exact_ispb,ispb=00869687,00869687,00869687000104,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE BOA ESPERANÇA LTDA. - SICOOB BELCREDI,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
